deck_id,deck_url,mtgo_url,placement,players,placement_of,deck_file
759853,https://www.mtgtop8.com/event?e=73797&d=759853&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759853&f=cEDH,3,66,3/66,..\data\mtgtop8\deck_759853.txt
759854,https://www.mtgtop8.com/event?e=73797&d=759854&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759854&f=cEDH,5,66,5/66,..\data\mtgtop8\deck_759854.txt
759855,https://www.mtgtop8.com/event?e=73797&d=759855&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759855&f=cEDH,5,66,5/66,..\data\mtgtop8\deck_759855.txt
759856,https://www.mtgtop8.com/event?e=73797&d=759856&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759856&f=cEDH,5,66,5/66,..\data\mtgtop8\deck_759856.txt
759857,https://www.mtgtop8.com/event?e=73797&d=759857&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759857&f=cEDH,5,66,5/66,..\data\mtgtop8\deck_759857.txt
759858,https://www.mtgtop8.com/event?e=73797&d=759858&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759858&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759858.txt
759859,https://www.mtgtop8.com/event?e=73797&d=759859&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759859&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759859.txt
759860,https://www.mtgtop8.com/event?e=73797&d=759860&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759860&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759860.txt
759861,https://www.mtgtop8.com/event?e=73797&d=759861&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759861&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759861.txt
759862,https://www.mtgtop8.com/event?e=73797&d=759862&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759862&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759862.txt
759863,https://www.mtgtop8.com/event?e=73797&d=759863&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759863&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759863.txt
759864,https://www.mtgtop8.com/event?e=73797&d=759864&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759864&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759864.txt
759865,https://www.mtgtop8.com/event?e=73797&d=759865&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73797&d=759865&f=cEDH,9,66,9/66,..\data\mtgtop8\deck_759865.txt
759695,https://www.mtgtop8.com/event?e=73778&d=759695&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73778&d=759695&f=cEDH,1,12,1/12,..\data\mtgtop8\deck_759695.txt
759696,https://www.mtgtop8.com/event?e=73778&d=759696&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73778&d=759696&f=cEDH,3,12,3/12,..\data\mtgtop8\deck_759696.txt
759697,https://www.mtgtop8.com/event?e=73778&d=759697&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73778&d=759697&f=cEDH,3,12,3/12,..\data\mtgtop8\deck_759697.txt
759842,https://www.mtgtop8.com/event?e=73796&d=759842&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759842&f=cEDH,1,37,1/37,..\data\mtgtop8\deck_759842.txt
759843,https://www.mtgtop8.com/event?e=73796&d=759843&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759843&f=cEDH,2,37,2/37,..\data\mtgtop8\deck_759843.txt
759844,https://www.mtgtop8.com/event?e=73796&d=759844&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759844&f=cEDH,3,37,3/37,..\data\mtgtop8\deck_759844.txt
759845,https://www.mtgtop8.com/event?e=73796&d=759845&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759845&f=cEDH,3,37,3/37,..\data\mtgtop8\deck_759845.txt
759846,https://www.mtgtop8.com/event?e=73796&d=759846&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759846&f=cEDH,5,37,5/37,..\data\mtgtop8\deck_759846.txt
759847,https://www.mtgtop8.com/event?e=73796&d=759847&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759847&f=cEDH,5,37,5/37,..\data\mtgtop8\deck_759847.txt
759848,https://www.mtgtop8.com/event?e=73796&d=759848&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759848&f=cEDH,5,37,5/37,..\data\mtgtop8\deck_759848.txt
759849,https://www.mtgtop8.com/event?e=73796&d=759849&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73796&d=759849&f=cEDH,5,37,5/37,..\data\mtgtop8\deck_759849.txt
759593,https://www.mtgtop8.com/event?e=73759&d=759593&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759593&f=cEDH,1,29,1/29,..\data\mtgtop8\deck_759593.txt
759594,https://www.mtgtop8.com/event?e=73759&d=759594&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759594&f=cEDH,2,29,2/29,..\data\mtgtop8\deck_759594.txt
